experiment,repeat,k,fold,max_depth,f1
CRFD,4,3,2,None,0.7692307692307693
CRFD,4,3,3,None,0.7165775401069518
CRFD,5,3,1,None,0.7191601049868767
CRFD,5,3,2,None,0.7360406091370558
CRFD,5,3,3,None,0.7570332480818415
CRFD,6,3,1,None,0.7421052631578947
CRFD,6,3,2,None,0.7788944723618091
CRFD,6,3,3,None,0.7238605898123325
CRFD,7,3,1,None,0.7616580310880829
CRFD,7,3,2,None,0.7296587926509186
CRFD,7,3,3,None,0.7480916030534351
CRFD,8,3,1,None,0.7531806615776081
CRFD,8,3,2,None,0.7403598971722365
CRFD,8,3,3,None,0.7282321899736148
CRFD,9,3,1,None,0.7421052631578947
CRFD,9,3,2,None,0.7832512315270936
CRFD,9,3,3,None,0.7263157894736842
CRFD,10,3,1,None,0.7461139896373057
CRFD,10,3,2,None,0.7575757575757576
CRFD,10,3,3,None,0.734375
CRFD,1,5,1,None,0.7359307359307359
CRFD,1,5,2,None,0.7359307359307359
CRFD,1,5,3,None,0.74235807860262
CRFD,1,5,4,None,0.7679324894514767
CRFD,1,5,5,None,0.7918367346938775
CRFD,2,5,1,None,0.6978723404255319
CRFD,2,5,2,None,0.7368421052631579
CRFD,2,5,3,None,0.6877828054298643
CRFD,2,5,4,None,0.7319148936170212
CRFD,2,5,5,None,0.8064516129032258
CRFD,3,5,1,None,0.7510917030567685
CRFD,3,5,2,None,0.7085201793721974
CRFD,3,5,3,None,0.7350427350427351
CRFD,3,5,4,None,0.7782426778242678
CRFD,3,5,5,None,0.7257383966244726
CRFD,4,5,1,None,0.7359307359307359
CRFD,4,5,2,None,0.759493670886076
CRFD,4,5,3,None,0.8178137651821862
CRFD,4,5,4,None,0.6818181818181818
CRFD,4,5,5,None,0.7615062761506276
CRFD,5,5,1,None,0.7916666666666666
CRFD,5,5,2,None,0.7531380753138075
CRFD,5,5,3,None,0.74235807860262
CRFD,5,5,4,None,0.7777777777777778
CRFD,5,5,5,None,0.7647058823529411
CRFD,6,5,1,None,0.7532467532467533
CRFD,6,5,2,None,0.7368421052631579
CRFD,6,5,3,None,0.7903225806451613
CRFD,6,5,4,None,0.7404255319148936
CRFD,6,5,5,None,0.7312775330396476
CRFD,7,5,1,None,0.8117154811715481
CRFD,7,5,2,None,0.7886178861788617
CRFD,7,5,3,None,0.7368421052631579
CRFD,7,5,4,None,0.7304347826086957
CRFD,7,5,5,None,0.75
CRFD,8,5,1,None,0.7542372881355932
CRFD,8,5,2,None,0.7949790794979079
CRFD,8,5,3,None,0.7666666666666667
CRFD,8,5,4,None,0.6697247706422018
CRFD,8,5,5,None,0.7848101265822784
CRFD,9,5,1,None,0.7685589519650655
CRFD,9,5,2,None,0.7186147186147186
CRFD,9,5,3,None,0.7949790794979079
CRFD,9,5,4,None,0.7818930041152263
CRFD,9,5,5,None,0.6872246696035242
CRFD,10,5,1,None,0.774468085106383
CRFD,10,5,2,None,0.775
CRFD,10,5,3,None,0.7489361702127659
CRFD,10,5,4,None,0.7532467532467533
CRFD,10,5,5,None,0.7457627118644068
CRFD,1,10,1,None,0.6956521739130435
CRFD,1,10,2,None,0.8034188034188035
CRFD,1,10,3,None,0.717948717948718
CRFD,1,10,4,None,0.7586206896551724
CRFD,1,10,5,None,0.7758620689655172
CRFD,1,10,6,None,0.711864406779661
CRFD,1,10,7,None,0.7796610169491526
CRFD,1,10,8,None,0.7768595041322314
CRFD,1,10,9,None,0.8412698412698413
CRFD,1,10,10,None,0.816
CRFD,2,10,1,None,0.6964285714285714
CRFD,2,10,2,None,0.7008547008547008
CRFD,2,10,3,None,0.7226890756302521
CRFD,2,10,4,None,0.7833333333333333
CRFD,2,10,5,None,0.7586206896551724
CRFD,2,10,6,None,0.6782608695652174
CRFD,2,10,7,None,0.7256637168141593
CRFD,2,10,8,None,0.7936507936507936
CRFD,2,10,9,None,0.7804878048780488
CRFD,2,10,10,None,0.8067226890756303
CRFD,3,10,1,None,0.7256637168141593
CRFD,3,10,2,None,0.8099173553719008
CRFD,3,10,3,None,0.7478260869565218
CRFD,3,10,4,None,0.7256637168141593
CRFD,3,10,5,None,0.7457627118644068
CRFD,3,10,6,None,0.75
CRFD,3,10,7,None,0.75
CRFD,3,10,8,None,0.8032786885245902
CRFD,3,10,9,None,0.7226890756302521
CRFD,3,10,10,None,0.7419354838709677
CRFD,4,10,1,None,0.7652173913043478
CRFD,4,10,2,None,0.7256637168141593
CRFD,4,10,3,None,0.7768595041322314
CRFD,4,10,4,None,0.7017543859649122
CRFD,4,10,5,None,0.8153846153846154
CRFD,4,10,6,None,0.8
CRFD,4,10,7,None,0.7079646017699115
CRFD,4,10,8,None,0.7368421052631579
CRFD,4,10,9,None,0.7933884297520661
CRFD,4,10,10,None,0.7130434782608696
CRFD,5,10,1,None,0.8032786885245902
CRFD,5,10,2,None,0.782608695652174
CRFD,5,10,3,None,0.6846846846846847
CRFD,5,10,4,None,0.743801652892562
CRFD,5,10,5,None,0.7540983606557377
CRFD,5,10,6,None,0.7543859649122807
CRFD,5,10,7,None,0.8264462809917356
CRFD,5,10,8,None,0.7833333333333333
CRFD,5,10,9,None,0.7304347826086957
CRFD,5,10,10,None,0.773109243697479
CRFD,6,10,1,None,0.6972477064220184
CRFD,6,10,2,None,0.7868852459016393
CRFD,6,10,3,None,0.7692307692307693
CRFD,6,10,4,None,0.7368421052631579
CRFD,6,10,5,None,0.7804878048780488
CRFD,6,10,6,None,0.7833333333333333
CRFD,6,10,7,None,0.7563025210084033
CRFD,6,10,8,None,0.7457627118644068
CRFD,6,10,9,None,0.7899159663865546
CRFD,6,10,10,None,0.6964285714285714
CRFD,7,10,1,None,0.8166666666666667
CRFD,7,10,2,None,0.8135593220338984
CRFD,7,10,3,None,0.7288135593220338
CRFD,7,10,4,None,0.7758620689655172
CRFD,7,10,5,None,0.7241379310344828
CRFD,7,10,6,None,0.7666666666666667
CRFD,7,10,7,None,0.8
CRFD,7,10,8,None,0.717948717948718
CRFD,7,10,9,None,0.8225806451612904
CRFD,7,10,10,None,0.6782608695652174
CRFD,8,10,1,None,0.773109243697479
CRFD,8,10,2,None,0.7413793103448276
CRFD,8,10,3,None,0.7868852459016393
CRFD,8,10,4,None,0.7666666666666667
CRFD,8,10,5,None,0.7603305785123967
CRFD,8,10,6,None,0.7457627118644068
CRFD,8,10,7,None,0.660377358490566
CRFD,8,10,8,None,0.6842105263157895
CRFD,8,10,9,None,0.8099173553719008
CRFD,8,10,10,None,0.7692307692307693
CRFD,9,10,1,None,0.7321428571428571
CRFD,9,10,2,None,0.8235294117647058
CRFD,9,10,3,None,0.7368421052631579
CRFD,9,10,4,None,0.7377049180327869
CRFD,9,10,5,None,0.7796610169491526
CRFD,9,10,6,None,0.7692307692307693
CRFD,9,10,7,None,0.8130081300813008
CRFD,9,10,8,None,0.773109243697479
CRFD,9,10,9,None,0.6542056074766355
CRFD,9,10,10,None,0.7226890756302521
CRFD,10,10,1,None,0.7931034482758621
CRFD,10,10,2,None,0.7933884297520661
CRFD,10,10,3,None,0.7586206896551724
CRFD,10,10,4,None,0.7768595041322314
CRFD,10,10,5,None,0.7868852459016393
CRFD,10,10,6,None,0.7394957983193278
CRFD,10,10,7,None,0.7017543859649122
CRFD,10,10,8,None,0.8225806451612904
CRFD,10,10,9,None,0.7521367521367521
CRFD,10,10,10,None,0.7079646017699115
